<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],10,20180813,160000,105950.000000,105950.000000,105950.000000,105950.000000,1.000000
RIZ8 [SPBFUT],10,20180813,161000,105990.000000,105990.000000,105740.000000,105740.000000,4.000000
RIZ8 [SPBFUT],10,20180813,163000,105950.000000,106000.000000,105950.000000,106000.000000,11.000000
RIZ8 [SPBFUT],10,20180813,164000,106130.000000,106350.000000,106130.000000,106300.000000,10.000000
RIZ8 [SPBFUT],10,20180813,165000,106400.000000,106590.000000,106400.000000,106590.000000,3.000000
RIZ8 [SPBFUT],10,20180813,170000,106300.000000,106400.000000,106300.000000,106400.000000,4.000000
RIZ8 [SPBFUT],10,20180813,171000,106500.000000,106600.000000,106400.000000,106580.000000,19.000000
RIZ8 [SPBFUT],10,20180813,172000,106500.000000,106500.000000,106450.000000,106450.000000,2.000000
RIZ8 [SPBFUT],10,20180813,173000,106500.000000,106530.000000,106490.000000,106530.000000,5.000000
RIZ8 [SPBFUT],10,20180813,174000,106450.000000,106450.000000,106170.000000,106170.000000,5.000000
RIZ8 [SPBFUT],10,20180813,175000,106300.000000,106400.000000,106300.000000,106400.000000,6.000000
RIZ8 [SPBFUT],10,20180813,180000,106500.000000,106510.000000,106050.000000,106050.000000,22.000000
RIZ8 [SPBFUT],10,20180813,181000,106150.000000,106300.000000,105860.000000,105870.000000,18.000000
RIZ8 [SPBFUT],10,20180813,182000,106120.000000,106160.000000,105830.000000,106000.000000,17.000000
RIZ8 [SPBFUT],10,20180813,183000,106010.000000,106030.000000,105660.000000,105660.000000,19.000000
RIZ8 [SPBFUT],10,20180813,184000,105890.000000,106000.000000,105760.000000,105790.000000,17.000000
RIZ8 [SPBFUT],10,20180813,190000,105470.000000,105480.000000,105010.000000,105150.000000,24.000000
RIZ8 [SPBFUT],10,20180813,191000,105240.000000,105270.000000,104910.000000,104910.000000,26.000000
RIZ8 [SPBFUT],10,20180813,192000,105190.000000,105190.000000,104760.000000,104760.000000,15.000000
RIZ8 [SPBFUT],10,20180813,193000,104870.000000,105090.000000,104660.000000,105090.000000,18.000000
RIZ8 [SPBFUT],10,20180813,194000,105090.000000,105160.000000,104770.000000,104990.000000,19.000000
RIZ8 [SPBFUT],10,20180813,195000,104970.000000,105260.000000,104740.000000,105040.000000,22.000000
RIZ8 [SPBFUT],10,20180813,200000,104990.000000,105000.000000,104800.000000,105000.000000,9.000000
RIZ8 [SPBFUT],10,20180813,201000,105070.000000,105250.000000,104920.000000,105250.000000,17.000000
RIZ8 [SPBFUT],10,20180813,202000,105070.000000,105140.000000,105040.000000,105100.000000,5.000000
RIZ8 [SPBFUT],10,20180813,203000,105140.000000,105450.000000,105140.000000,105400.000000,11.000000
RIZ8 [SPBFUT],10,20180813,204000,105300.000000,105490.000000,105300.000000,105490.000000,14.000000
RIZ8 [SPBFUT],10,20180813,205000,105470.000000,105500.000000,105470.000000,105500.000000,8.000000
