<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],3,20180920,224500,112610.000000,112690.000000,112600.000000,112670.000000,264.000000
RIZ8 [SPBFUT],3,20180920,224800,112670.000000,112680.000000,112630.000000,112650.000000,240.000000
RIZ8 [SPBFUT],3,20180920,225100,112640.000000,112650.000000,112620.000000,112640.000000,135.000000
RIZ8 [SPBFUT],3,20180920,225400,112630.000000,112700.000000,112620.000000,112670.000000,535.000000
RIZ8 [SPBFUT],3,20180920,225700,112660.000000,112670.000000,112620.000000,112630.000000,380.000000
RIZ8 [SPBFUT],3,20180920,230000,112640.000000,112720.000000,112640.000000,112660.000000,674.000000
RIZ8 [SPBFUT],3,20180920,230300,112670.000000,112690.000000,112650.000000,112660.000000,113.000000
RIZ8 [SPBFUT],3,20180920,230600,112660.000000,112690.000000,112660.000000,112670.000000,80.000000
RIZ8 [SPBFUT],3,20180920,230900,112670.000000,112730.000000,112670.000000,112700.000000,311.000000
RIZ8 [SPBFUT],3,20180920,231200,112720.000000,112720.000000,112700.000000,112720.000000,96.000000
RIZ8 [SPBFUT],3,20180920,231500,112710.000000,112730.000000,112680.000000,112700.000000,241.000000
RIZ8 [SPBFUT],3,20180920,231800,112700.000000,112730.000000,112680.000000,112710.000000,267.000000
RIZ8 [SPBFUT],3,20180920,232100,112710.000000,112720.000000,112690.000000,112700.000000,60.000000
RIZ8 [SPBFUT],3,20180920,232400,112690.000000,112690.000000,112680.000000,112690.000000,46.000000
RIZ8 [SPBFUT],3,20180920,232700,112690.000000,112710.000000,112670.000000,112710.000000,211.000000
RIZ8 [SPBFUT],3,20180920,233000,112720.000000,112750.000000,112710.000000,112730.000000,305.000000
RIZ8 [SPBFUT],3,20180920,233300,112730.000000,112750.000000,112720.000000,112740.000000,106.000000
RIZ8 [SPBFUT],3,20180920,233600,112740.000000,112740.000000,112710.000000,112720.000000,208.000000
RIZ8 [SPBFUT],3,20180920,233900,112730.000000,112750.000000,112690.000000,112740.000000,246.000000
RIZ8 [SPBFUT],3,20180920,234200,112730.000000,112750.000000,112720.000000,112750.000000,71.000000
RIZ8 [SPBFUT],3,20180920,234500,112740.000000,112750.000000,112700.000000,112730.000000,773.000000
RIZ8 [SPBFUT],3,20180920,234800,112730.000000,112750.000000,112650.000000,112690.000000,831.000000
RIZ8 [SPBFUT],3,20180921,100000,112690.000000,112780.000000,112350.000000,112530.000000,6410.000000
RIZ8 [SPBFUT],3,20180921,100300,112540.000000,112740.000000,112520.000000,112720.000000,3839.000000
RIZ8 [SPBFUT],3,20180921,100600,112710.000000,113090.000000,112710.000000,113010.000000,7065.000000
RIZ8 [SPBFUT],3,20180921,100900,113010.000000,113080.000000,112860.000000,112910.000000,3562.000000
RIZ8 [SPBFUT],3,20180921,101200,112910.000000,113030.000000,112820.000000,112910.000000,1780.000000
RIZ8 [SPBFUT],3,20180921,101500,112900.000000,113000.000000,112840.000000,112870.000000,2384.000000
RIZ8 [SPBFUT],3,20180921,101800,112880.000000,112920.000000,112780.000000,112910.000000,2301.000000
RIZ8 [SPBFUT],3,20180921,102100,112900.000000,112920.000000,112790.000000,112890.000000,1326.000000
RIZ8 [SPBFUT],3,20180921,102400,112890.000000,113040.000000,112890.000000,113010.000000,1813.000000
RIZ8 [SPBFUT],3,20180921,102700,113000.000000,113280.000000,113000.000000,113190.000000,4361.000000
RIZ8 [SPBFUT],3,20180921,103000,113190.000000,113240.000000,113040.000000,113150.000000,2442.000000
RIZ8 [SPBFUT],3,20180921,103300,113160.000000,113180.000000,113050.000000,113070.000000,1085.000000
RIZ8 [SPBFUT],3,20180921,103600,113060.000000,113100.000000,112870.000000,112880.000000,1980.000000
RIZ8 [SPBFUT],3,20180921,103900,112880.000000,112950.000000,112810.000000,112860.000000,2336.000000
RIZ8 [SPBFUT],3,20180921,104200,112850.000000,112910.000000,112760.000000,112780.000000,1923.000000
RIZ8 [SPBFUT],3,20180921,104500,112780.000000,112800.000000,112690.000000,112790.000000,1526.000000
RIZ8 [SPBFUT],3,20180921,104800,112790.000000,112820.000000,112710.000000,112710.000000,1293.000000
RIZ8 [SPBFUT],3,20180921,105100,112710.000000,112840.000000,112660.000000,112830.000000,1846.000000
RIZ8 [SPBFUT],3,20180921,105400,112830.000000,112960.000000,112790.000000,112960.000000,1851.000000
RIZ8 [SPBFUT],3,20180921,105700,112950.000000,112960.000000,112850.000000,112910.000000,903.000000
RIZ8 [SPBFUT],3,20180921,110000,112900.000000,113060.000000,112890.000000,113010.000000,2669.000000
RIZ8 [SPBFUT],3,20180921,110300,113000.000000,113100.000000,112940.000000,112960.000000,1677.000000
RIZ8 [SPBFUT],3,20180921,110600,112950.000000,113000.000000,112820.000000,112820.000000,1208.000000
RIZ8 [SPBFUT],3,20180921,110900,112840.000000,112940.000000,112790.000000,112890.000000,1160.000000
RIZ8 [SPBFUT],3,20180921,111200,112890.000000,112940.000000,112790.000000,112940.000000,587.000000
RIZ8 [SPBFUT],3,20180921,111500,112920.000000,112940.000000,112840.000000,112870.000000,356.000000
RIZ8 [SPBFUT],3,20180921,111800,112890.000000,113040.000000,112890.000000,113010.000000,1174.000000
RIZ8 [SPBFUT],3,20180921,112100,113010.000000,113200.000000,113010.000000,113180.000000,3053.000000
RIZ8 [SPBFUT],3,20180921,112400,113180.000000,113260.000000,113120.000000,113190.000000,2029.000000
RIZ8 [SPBFUT],3,20180921,112700,113200.000000,113280.000000,113160.000000,113230.000000,1292.000000
RIZ8 [SPBFUT],3,20180921,113000,113250.000000,113340.000000,113210.000000,113280.000000,3372.000000
RIZ8 [SPBFUT],3,20180921,113300,113280.000000,113300.000000,113140.000000,113230.000000,1700.000000
RIZ8 [SPBFUT],3,20180921,113600,113240.000000,113240.000000,113130.000000,113170.000000,1047.000000
RIZ8 [SPBFUT],3,20180921,113900,113170.000000,113290.000000,113150.000000,113220.000000,1812.000000
RIZ8 [SPBFUT],3,20180921,114200,113200.000000,113290.000000,113180.000000,113270.000000,1068.000000
RIZ8 [SPBFUT],3,20180921,114500,113260.000000,113300.000000,113260.000000,113270.000000,812.000000
RIZ8 [SPBFUT],3,20180921,114800,113270.000000,113390.000000,113250.000000,113350.000000,1603.000000
RIZ8 [SPBFUT],3,20180921,115100,113350.000000,113350.000000,113240.000000,113280.000000,1265.000000
RIZ8 [SPBFUT],3,20180921,115400,113280.000000,113280.000000,113170.000000,113190.000000,2021.000000
RIZ8 [SPBFUT],3,20180921,115700,113200.000000,113220.000000,113160.000000,113200.000000,724.000000
RIZ8 [SPBFUT],3,20180921,120000,113210.000000,113250.000000,113140.000000,113150.000000,1273.000000
RIZ8 [SPBFUT],3,20180921,120300,113150.000000,113220.000000,113140.000000,113170.000000,869.000000
RIZ8 [SPBFUT],3,20180921,120600,113170.000000,113240.000000,113160.000000,113170.000000,600.000000
RIZ8 [SPBFUT],3,20180921,120900,113180.000000,113180.000000,113030.000000,113140.000000,2170.000000
RIZ8 [SPBFUT],3,20180921,121200,113140.000000,113170.000000,113070.000000,113140.000000,640.000000
RIZ8 [SPBFUT],3,20180921,121500,113140.000000,113180.000000,113090.000000,113090.000000,614.000000
RIZ8 [SPBFUT],3,20180921,121800,113090.000000,113130.000000,112930.000000,112960.000000,1766.000000
RIZ8 [SPBFUT],3,20180921,122100,112940.000000,113060.000000,112910.000000,113040.000000,1819.000000
RIZ8 [SPBFUT],3,20180921,122400,113030.000000,113090.000000,113000.000000,113040.000000,1252.000000
RIZ8 [SPBFUT],3,20180921,122700,113030.000000,113110.000000,113000.000000,113070.000000,1285.000000
RIZ8 [SPBFUT],3,20180921,123000,113080.000000,113100.000000,112950.000000,112990.000000,728.000000
RIZ8 [SPBFUT],3,20180921,123300,112990.000000,113060.000000,112980.000000,112980.000000,633.000000
RIZ8 [SPBFUT],3,20180921,123600,112980.000000,113060.000000,112940.000000,112950.000000,971.000000
RIZ8 [SPBFUT],3,20180921,123900,112960.000000,112980.000000,112900.000000,112960.000000,1116.000000
RIZ8 [SPBFUT],3,20180921,124200,112970.000000,113020.000000,112900.000000,112980.000000,1100.000000
RIZ8 [SPBFUT],3,20180921,124500,112970.000000,113030.000000,112950.000000,112970.000000,463.000000
RIZ8 [SPBFUT],3,20180921,124800,112980.000000,113000.000000,112910.000000,112950.000000,557.000000
RIZ8 [SPBFUT],3,20180921,125100,112930.000000,113020.000000,112870.000000,112910.000000,1544.000000
RIZ8 [SPBFUT],3,20180921,125400,112890.000000,112930.000000,112840.000000,112890.000000,904.000000
RIZ8 [SPBFUT],3,20180921,125700,112880.000000,112980.000000,112880.000000,112970.000000,1147.000000
RIZ8 [SPBFUT],3,20180921,130000,112980.000000,113010.000000,112910.000000,112970.000000,1097.000000
RIZ8 [SPBFUT],3,20180921,130300,112950.000000,113080.000000,112950.000000,113040.000000,1320.000000
RIZ8 [SPBFUT],3,20180921,130600,113030.000000,113040.000000,112870.000000,112870.000000,1620.000000
RIZ8 [SPBFUT],3,20180921,130900,112880.000000,112930.000000,112830.000000,112880.000000,1247.000000
RIZ8 [SPBFUT],3,20180921,131200,112880.000000,112930.000000,112860.000000,112900.000000,1105.000000
RIZ8 [SPBFUT],3,20180921,131500,112890.000000,112930.000000,112860.000000,112920.000000,835.000000
RIZ8 [SPBFUT],3,20180921,131800,112920.000000,112940.000000,112870.000000,112900.000000,888.000000
RIZ8 [SPBFUT],3,20180921,132100,112900.000000,112980.000000,112900.000000,112950.000000,1911.000000
RIZ8 [SPBFUT],3,20180921,132400,112950.000000,112960.000000,112930.000000,112930.000000,235.000000
RIZ8 [SPBFUT],3,20180921,132700,112940.000000,112950.000000,112880.000000,112880.000000,774.000000
RIZ8 [SPBFUT],3,20180921,133000,112880.000000,112920.000000,112830.000000,112880.000000,2426.000000
RIZ8 [SPBFUT],3,20180921,133300,112870.000000,112930.000000,112870.000000,112900.000000,582.000000
RIZ8 [SPBFUT],3,20180921,133600,112900.000000,112930.000000,112860.000000,112860.000000,496.000000
RIZ8 [SPBFUT],3,20180921,133900,112870.000000,112930.000000,112860.000000,112890.000000,769.000000
RIZ8 [SPBFUT],3,20180921,134200,112880.000000,112910.000000,112870.000000,112910.000000,594.000000
RIZ8 [SPBFUT],3,20180921,134500,112920.000000,112940.000000,112790.000000,112810.000000,2342.000000
RIZ8 [SPBFUT],3,20180921,134800,112810.000000,112810.000000,112560.000000,112670.000000,4694.000000
RIZ8 [SPBFUT],3,20180921,135100,112660.000000,112740.000000,112640.000000,112730.000000,1103.000000
RIZ8 [SPBFUT],3,20180921,135400,112730.000000,112730.000000,112640.000000,112660.000000,823.000000
RIZ8 [SPBFUT],3,20180921,135700,112670.000000,112680.000000,112610.000000,112640.000000,635.000000
RIZ8 [SPBFUT],3,20180921,140300,112660.000000,112700.000000,112560.000000,112650.000000,774.000000
RIZ8 [SPBFUT],3,20180921,140600,112650.000000,112680.000000,112570.000000,112640.000000,928.000000
RIZ8 [SPBFUT],3,20180921,140900,112630.000000,112670.000000,112580.000000,112640.000000,709.000000
RIZ8 [SPBFUT],3,20180921,141200,112640.000000,112740.000000,112620.000000,112680.000000,883.000000
RIZ8 [SPBFUT],3,20180921,141500,112680.000000,112730.000000,112590.000000,112660.000000,1516.000000
RIZ8 [SPBFUT],3,20180921,141800,112650.000000,112690.000000,112610.000000,112680.000000,580.000000
RIZ8 [SPBFUT],3,20180921,142100,112670.000000,112760.000000,112660.000000,112740.000000,732.000000
RIZ8 [SPBFUT],3,20180921,142400,112750.000000,112760.000000,112700.000000,112740.000000,511.000000
RIZ8 [SPBFUT],3,20180921,142700,112740.000000,112780.000000,112710.000000,112750.000000,517.000000
RIZ8 [SPBFUT],3,20180921,143000,112740.000000,112780.000000,112730.000000,112770.000000,628.000000
RIZ8 [SPBFUT],3,20180921,143300,112770.000000,112780.000000,112750.000000,112770.000000,815.000000
RIZ8 [SPBFUT],3,20180921,143600,112770.000000,112850.000000,112750.000000,112840.000000,857.000000
RIZ8 [SPBFUT],3,20180921,143900,112830.000000,112870.000000,112810.000000,112820.000000,1147.000000
RIZ8 [SPBFUT],3,20180921,144200,112820.000000,112860.000000,112800.000000,112800.000000,453.000000
RIZ8 [SPBFUT],3,20180921,144500,112800.000000,112850.000000,112800.000000,112800.000000,926.000000
RIZ8 [SPBFUT],3,20180921,144800,112800.000000,112850.000000,112730.000000,112760.000000,1343.000000
RIZ8 [SPBFUT],3,20180921,145100,112740.000000,112830.000000,112730.000000,112810.000000,333.000000
RIZ8 [SPBFUT],3,20180921,145400,112820.000000,112960.000000,112760.000000,112790.000000,3162.000000
RIZ8 [SPBFUT],3,20180921,145700,112780.000000,112830.000000,112710.000000,112790.000000,1737.000000
RIZ8 [SPBFUT],3,20180921,150000,112790.000000,112810.000000,112570.000000,112670.000000,1829.000000
RIZ8 [SPBFUT],3,20180921,150300,112670.000000,112690.000000,112420.000000,112520.000000,4076.000000
RIZ8 [SPBFUT],3,20180921,150600,112500.000000,112620.000000,112470.000000,112580.000000,1953.000000
RIZ8 [SPBFUT],3,20180921,150900,112590.000000,112640.000000,112550.000000,112580.000000,875.000000
RIZ8 [SPBFUT],3,20180921,151200,112570.000000,112630.000000,112520.000000,112620.000000,921.000000
RIZ8 [SPBFUT],3,20180921,151500,112630.000000,112660.000000,112580.000000,112660.000000,615.000000
RIZ8 [SPBFUT],3,20180921,151800,112660.000000,112660.000000,112590.000000,112590.000000,427.000000
RIZ8 [SPBFUT],3,20180921,152100,112610.000000,112650.000000,112570.000000,112640.000000,390.000000
