<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],120,20170913,200000,110470.000000,110470.000000,110470.000000,110470.000000,8.000000
RIZ8 [SPBFUT],120,20170914,160000,108800.000000,108930.000000,108800.000000,108930.000000,4.000000
RIZ8 [SPBFUT],120,20170914,180000,108930.000000,109240.000000,108930.000000,109240.000000,8.000000
RIZ8 [SPBFUT],120,20170915,100000,110730.000000,110730.000000,110250.000000,110250.000000,4.000000
RIZ8 [SPBFUT],120,20170915,140000,109370.000000,109370.000000,109370.000000,109370.000000,1.000000
RIZ8 [SPBFUT],120,20170918,180000,109550.000000,109550.000000,109550.000000,109550.000000,3.000000
RIZ8 [SPBFUT],120,20170918,200000,108300.000000,108300.000000,108300.000000,108300.000000,3.000000
RIZ8 [SPBFUT],120,20170920,120000,108400.000000,108700.000000,108400.000000,108700.000000,2.000000
RIZ8 [SPBFUT],120,20170921,120000,109210.000000,109210.000000,109210.000000,109210.000000,1.000000
RIZ8 [SPBFUT],120,20170922,220000,109990.000000,109990.000000,108810.000000,108810.000000,2.000000
RIZ8 [SPBFUT],120,20170925,220000,110570.000000,111150.000000,110570.000000,110580.000000,16.000000
RIZ8 [SPBFUT],120,20170926,180000,110500.000000,110500.000000,110500.000000,110500.000000,1.000000
RIZ8 [SPBFUT],120,20170926,220000,110110.000000,110600.000000,110110.000000,110600.000000,2.000000
RIZ8 [SPBFUT],120,20170927,120000,110210.000000,110210.000000,110210.000000,110210.000000,1.000000
RIZ8 [SPBFUT],120,20170928,100000,109880.000000,110220.000000,108700.000000,108700.000000,74.000000
RIZ8 [SPBFUT],120,20170928,160000,110550.000000,110550.000000,110550.000000,110550.000000,1.000000
RIZ8 [SPBFUT],120,20171003,140000,110500.000000,110500.000000,110500.000000,110500.000000,2.000000
RIZ8 [SPBFUT],120,20171004,220000,110850.000000,111400.000000,110850.000000,111400.000000,2.000000
RIZ8 [SPBFUT],120,20171005,220000,111610.000000,112610.000000,111610.000000,112610.000000,2.000000
RIZ8 [SPBFUT],120,20171006,100000,112470.000000,112600.000000,111420.000000,111420.000000,72.000000
RIZ8 [SPBFUT],120,20171006,160000,111420.000000,111420.000000,111420.000000,111420.000000,1.000000
RIZ8 [SPBFUT],120,20171009,160000,110770.000000,110770.000000,110770.000000,110770.000000,2.000000
RIZ8 [SPBFUT],120,20171012,140000,112000.000000,112000.000000,112000.000000,112000.000000,2.000000
RIZ8 [SPBFUT],120,20171016,120000,113800.000000,113800.000000,113800.000000,113800.000000,1.000000
RIZ8 [SPBFUT],120,20171016,160000,113330.000000,113330.000000,113330.000000,113330.000000,1.000000
RIZ8 [SPBFUT],120,20171017,100000,113450.000000,113550.000000,112290.000000,112290.000000,74.000000
RIZ8 [SPBFUT],120,20171017,160000,112250.000000,112250.000000,112250.000000,112250.000000,1.000000
RIZ8 [SPBFUT],120,20171017,200000,112630.000000,112630.000000,112630.000000,112630.000000,1.000000
RIZ8 [SPBFUT],120,20171017,220000,112620.000000,112620.000000,112620.000000,112620.000000,1.000000
RIZ8 [SPBFUT],120,20171019,100000,112710.000000,112710.000000,112710.000000,112710.000000,1.000000
RIZ8 [SPBFUT],120,20171019,120000,111250.000000,111250.000000,111020.000000,111020.000000,3.000000
RIZ8 [SPBFUT],120,20171023,100000,112360.000000,112360.000000,112360.000000,112360.000000,1.000000
RIZ8 [SPBFUT],120,20171024,180000,111530.000000,111530.000000,111530.000000,111530.000000,1.000000
RIZ8 [SPBFUT],120,20171025,180000,109800.000000,109800.000000,109800.000000,109800.000000,1.000000
RIZ8 [SPBFUT],120,20171025,220000,109740.000000,109740.000000,109740.000000,109740.000000,1.000000
RIZ8 [SPBFUT],120,20171027,120000,108950.000000,108950.000000,108950.000000,108950.000000,1.000000
RIZ8 [SPBFUT],120,20171030,100000,110230.000000,110230.000000,110030.000000,110030.000000,2.000000
RIZ8 [SPBFUT],120,20171030,140000,111410.000000,111410.000000,111410.000000,111410.000000,2.000000
RIZ8 [SPBFUT],120,20171030,220000,110400.000000,110700.000000,110400.000000,110700.000000,4.000000
RIZ8 [SPBFUT],120,20171102,220000,109980.000000,110370.000000,109980.000000,110370.000000,2.000000
RIZ8 [SPBFUT],120,20171103,100000,109530.000000,110350.000000,109530.000000,110350.000000,2.000000
RIZ8 [SPBFUT],120,20171103,220000,109200.000000,109580.000000,109200.000000,109580.000000,8.000000
RIZ8 [SPBFUT],120,20171107,100000,112500.000000,112500.000000,112500.000000,112500.000000,3.000000
RIZ8 [SPBFUT],120,20171107,140000,112000.000000,112890.000000,112000.000000,112890.000000,5.000000
RIZ8 [SPBFUT],120,20171107,160000,113170.000000,113170.000000,113170.000000,113170.000000,1.000000
RIZ8 [SPBFUT],120,20171107,200000,112190.000000,112190.000000,112190.000000,112190.000000,1.000000
RIZ8 [SPBFUT],120,20171108,100000,112930.000000,113200.000000,111700.000000,112930.000000,75.000000
RIZ8 [SPBFUT],120,20171108,120000,113430.000000,113490.000000,113400.000000,113490.000000,6.000000
RIZ8 [SPBFUT],120,20171109,100000,112600.000000,112600.000000,112600.000000,112600.000000,1.000000
RIZ8 [SPBFUT],120,20171109,140000,113070.000000,113070.000000,113070.000000,113070.000000,1.000000
RIZ8 [SPBFUT],120,20171109,160000,113300.000000,113300.000000,113300.000000,113300.000000,1.000000
RIZ8 [SPBFUT],120,20171109,180000,113860.000000,113860.000000,113860.000000,113860.000000,1.000000
RIZ8 [SPBFUT],120,20171109,200000,113670.000000,113670.000000,113670.000000,113670.000000,1.000000
RIZ8 [SPBFUT],120,20171113,120000,113750.000000,113750.000000,113660.000000,113660.000000,4.000000
RIZ8 [SPBFUT],120,20171113,140000,113500.000000,113500.000000,113500.000000,113500.000000,1.000000
RIZ8 [SPBFUT],120,20171113,180000,113270.000000,113270.000000,113270.000000,113270.000000,1.000000
RIZ8 [SPBFUT],120,20171117,160000,111930.000000,111930.000000,109840.000000,111690.000000,3.000000
RIZ8 [SPBFUT],120,20171117,220000,110800.000000,112200.000000,110800.000000,112000.000000,12.000000
RIZ8 [SPBFUT],120,20171121,140000,112280.000000,112280.000000,112280.000000,112280.000000,1.000000
RIZ8 [SPBFUT],120,20171121,160000,112120.000000,112120.000000,112120.000000,112120.000000,1.000000
RIZ8 [SPBFUT],120,20171122,160000,113550.000000,113680.000000,113550.000000,113680.000000,2.000000
RIZ8 [SPBFUT],120,20171123,100000,113200.000000,113200.000000,113200.000000,113200.000000,1.000000
RIZ8 [SPBFUT],120,20171124,100000,113500.000000,113500.000000,113500.000000,113500.000000,3.000000
RIZ8 [SPBFUT],120,20171129,120000,112980.000000,112980.000000,112980.000000,112980.000000,1.000000
RIZ8 [SPBFUT],120,20171201,100000,111190.000000,111600.000000,109920.000000,109920.000000,30.000000
RIZ8 [SPBFUT],120,20171201,120000,110410.000000,110410.000000,110410.000000,110410.000000,1.000000
RIZ8 [SPBFUT],120,20171201,160000,110860.000000,111000.000000,110860.000000,111000.000000,3.000000
RIZ8 [SPBFUT],120,20171201,180000,111090.000000,111100.000000,111090.000000,111100.000000,2.000000
RIZ8 [SPBFUT],120,20171201,220000,109760.000000,109760.000000,109760.000000,109760.000000,1.000000
RIZ8 [SPBFUT],120,20171204,140000,110840.000000,110840.000000,110840.000000,110840.000000,1.000000
RIZ8 [SPBFUT],120,20171204,160000,111000.000000,111050.000000,111000.000000,111050.000000,2.000000
RIZ8 [SPBFUT],120,20171205,180000,111000.000000,111000.000000,110150.000000,110150.000000,4.000000
RIZ8 [SPBFUT],120,20171205,220000,110650.000000,111000.000000,110650.000000,111000.000000,2.000000
RIZ8 [SPBFUT],120,20171206,100000,111390.000000,111970.000000,111390.000000,111970.000000,3.000000
RIZ8 [SPBFUT],120,20171208,120000,109770.000000,109770.000000,109770.000000,109770.000000,1.000000
RIZ8 [SPBFUT],120,20171208,140000,109570.000000,109570.000000,109570.000000,109570.000000,1.000000
RIZ8 [SPBFUT],120,20171211,140000,111530.000000,112410.000000,111530.000000,112410.000000,5.000000
RIZ8 [SPBFUT],120,20171212,100000,112630.000000,112630.000000,112600.000000,112600.000000,2.000000
RIZ8 [SPBFUT],120,20171212,120000,112390.000000,112390.000000,112210.000000,112210.000000,3.000000
RIZ8 [SPBFUT],120,20171212,220000,111450.000000,113000.000000,111450.000000,113000.000000,2.000000
RIZ8 [SPBFUT],120,20171214,220000,112210.000000,112210.000000,112210.000000,112210.000000,1.000000
RIZ8 [SPBFUT],120,20171215,100000,112930.000000,112930.000000,111930.000000,111930.000000,3.000000
