<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],15,20180629,110000,112100.000000,112100.000000,112100.000000,112100.000000,11.000000
RIZ8 [SPBFUT],15,20180629,113000,112440.000000,112450.000000,112440.000000,112450.000000,2.000000
RIZ8 [SPBFUT],15,20180629,121500,112150.000000,112150.000000,112110.000000,112110.000000,10.000000
RIZ8 [SPBFUT],15,20180629,123000,112100.000000,112100.000000,112070.000000,112070.000000,5.000000
RIZ8 [SPBFUT],15,20180629,133000,112070.000000,112070.000000,112030.000000,112030.000000,2.000000
RIZ8 [SPBFUT],15,20180629,140000,111930.000000,111930.000000,111930.000000,111930.000000,1.000000
RIZ8 [SPBFUT],15,20180629,163000,112360.000000,112360.000000,112360.000000,112360.000000,1.000000
RIZ8 [SPBFUT],15,20180629,164500,112510.000000,112510.000000,112510.000000,112510.000000,2.000000
RIZ8 [SPBFUT],15,20180629,170000,112450.000000,112450.000000,112450.000000,112450.000000,1.000000
RIZ8 [SPBFUT],15,20180629,171500,112460.000000,112460.000000,112460.000000,112460.000000,2.000000
RIZ8 [SPBFUT],15,20180629,181500,112600.000000,112700.000000,112600.000000,112700.000000,3.000000
RIZ8 [SPBFUT],15,20180629,183000,113000.000000,113000.000000,113000.000000,113000.000000,3.000000
RIZ8 [SPBFUT],15,20180629,191500,112620.000000,112620.000000,112600.000000,112600.000000,2.000000
RIZ8 [SPBFUT],15,20180629,194500,112600.000000,112600.000000,112510.000000,112510.000000,2.000000
RIZ8 [SPBFUT],15,20180629,220000,113050.000000,113050.000000,113050.000000,113050.000000,1.000000
RIZ8 [SPBFUT],15,20180629,221500,113000.000000,113000.000000,113000.000000,113000.000000,1.000000
RIZ8 [SPBFUT],15,20180629,223000,113000.000000,113000.000000,112860.000000,112860.000000,3.000000
RIZ8 [SPBFUT],15,20180629,224500,112990.000000,113000.000000,112950.000000,112990.000000,4.000000
RIZ8 [SPBFUT],15,20180629,230000,113020.000000,113020.000000,113020.000000,113020.000000,1.000000
RIZ8 [SPBFUT],15,20180629,231500,113310.000000,113310.000000,113310.000000,113310.000000,2.000000
RIZ8 [SPBFUT],15,20180702,100000,112330.000000,112510.000000,111500.000000,112060.000000,7.000000
RIZ8 [SPBFUT],15,20180702,103000,112500.000000,112500.000000,112400.000000,112400.000000,20.000000
RIZ8 [SPBFUT],15,20180702,104500,112340.000000,112340.000000,112340.000000,112340.000000,1.000000
RIZ8 [SPBFUT],15,20180702,110000,112950.000000,112950.000000,112950.000000,112950.000000,1.000000
RIZ8 [SPBFUT],15,20180702,113000,113290.000000,113410.000000,113290.000000,113410.000000,3.000000
RIZ8 [SPBFUT],15,20180702,114500,113380.000000,113380.000000,113380.000000,113380.000000,1.000000
RIZ8 [SPBFUT],15,20180702,120000,113480.000000,113490.000000,113480.000000,113490.000000,2.000000
RIZ8 [SPBFUT],15,20180702,124500,113030.000000,113230.000000,112780.000000,113020.000000,17.000000
RIZ8 [SPBFUT],15,20180702,130000,112990.000000,113360.000000,112990.000000,113360.000000,4.000000
RIZ8 [SPBFUT],15,20180702,131500,113030.000000,113030.000000,113030.000000,113030.000000,1.000000
RIZ8 [SPBFUT],15,20180702,134500,113460.000000,113460.000000,113460.000000,113460.000000,1.000000
RIZ8 [SPBFUT],15,20180702,141500,114000.000000,114000.000000,114000.000000,114000.000000,1.000000
RIZ8 [SPBFUT],15,20180702,143000,113960.000000,113960.000000,113920.000000,113920.000000,2.000000
RIZ8 [SPBFUT],15,20180702,150000,113720.000000,113720.000000,113720.000000,113720.000000,1.000000
RIZ8 [SPBFUT],15,20180702,154500,113400.000000,113400.000000,113400.000000,113400.000000,2.000000
RIZ8 [SPBFUT],15,20180702,160000,113480.000000,113730.000000,113480.000000,113710.000000,3.000000
RIZ8 [SPBFUT],15,20180702,161500,113380.000000,113380.000000,113380.000000,113380.000000,2.000000
RIZ8 [SPBFUT],15,20180702,163000,113120.000000,113120.000000,113110.000000,113110.000000,2.000000
RIZ8 [SPBFUT],15,20180702,164500,113060.000000,113150.000000,112800.000000,113150.000000,6.000000
RIZ8 [SPBFUT],15,20180702,170000,113100.000000,113100.000000,113100.000000,113100.000000,2.000000
RIZ8 [SPBFUT],15,20180702,173000,112960.000000,113220.000000,112960.000000,113220.000000,5.000000
RIZ8 [SPBFUT],15,20180702,180000,113170.000000,113170.000000,113170.000000,113170.000000,1.000000
