<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],4,20180917,133600,108000.000000,108060.000000,107970.000000,107980.000000,28.000000
RIZ8 [SPBFUT],4,20180917,134000,108010.000000,108030.000000,107970.000000,108000.000000,24.000000
RIZ8 [SPBFUT],4,20180917,134400,108020.000000,108070.000000,108000.000000,108010.000000,44.000000
RIZ8 [SPBFUT],4,20180917,134800,108030.000000,108070.000000,108020.000000,108070.000000,27.000000
RIZ8 [SPBFUT],4,20180917,135200,108040.000000,108070.000000,108010.000000,108040.000000,113.000000
RIZ8 [SPBFUT],4,20180917,135600,108070.000000,108210.000000,108040.000000,108040.000000,299.000000
RIZ8 [SPBFUT],4,20180917,140400,108110.000000,108110.000000,107990.000000,108010.000000,38.000000
RIZ8 [SPBFUT],4,20180917,140800,108020.000000,108160.000000,108020.000000,108110.000000,232.000000
RIZ8 [SPBFUT],4,20180917,141200,108130.000000,108140.000000,108050.000000,108050.000000,178.000000
RIZ8 [SPBFUT],4,20180917,141600,108090.000000,108110.000000,108000.000000,108030.000000,60.000000
RIZ8 [SPBFUT],4,20180917,142000,108030.000000,108070.000000,108030.000000,108050.000000,37.000000
RIZ8 [SPBFUT],4,20180917,142400,108040.000000,108090.000000,108030.000000,108090.000000,70.000000
RIZ8 [SPBFUT],4,20180917,142800,108080.000000,108120.000000,108080.000000,108080.000000,46.000000
RIZ8 [SPBFUT],4,20180917,143200,108060.000000,108150.000000,108050.000000,108120.000000,51.000000
RIZ8 [SPBFUT],4,20180917,143600,108090.000000,108110.000000,108050.000000,108060.000000,40.000000
RIZ8 [SPBFUT],4,20180917,144000,108060.000000,108140.000000,108060.000000,108100.000000,111.000000
RIZ8 [SPBFUT],4,20180917,144400,108090.000000,108330.000000,108090.000000,108330.000000,321.000000
RIZ8 [SPBFUT],4,20180917,144800,108330.000000,108330.000000,108230.000000,108240.000000,192.000000
RIZ8 [SPBFUT],4,20180917,145200,108280.000000,108310.000000,108260.000000,108290.000000,137.000000
RIZ8 [SPBFUT],4,20180917,145600,108310.000000,108330.000000,108170.000000,108170.000000,38.000000
RIZ8 [SPBFUT],4,20180917,150000,108140.000000,108180.000000,108140.000000,108180.000000,94.000000
RIZ8 [SPBFUT],4,20180917,150400,108150.000000,108200.000000,108130.000000,108200.000000,54.000000
RIZ8 [SPBFUT],4,20180917,150800,108230.000000,108240.000000,108130.000000,108130.000000,171.000000
RIZ8 [SPBFUT],4,20180917,151200,108120.000000,108260.000000,108110.000000,108220.000000,117.000000
RIZ8 [SPBFUT],4,20180917,151600,108190.000000,108190.000000,108080.000000,108120.000000,153.000000
RIZ8 [SPBFUT],4,20180917,152000,108110.000000,108160.000000,108110.000000,108130.000000,34.000000
RIZ8 [SPBFUT],4,20180917,152400,108140.000000,108160.000000,108090.000000,108120.000000,94.000000
RIZ8 [SPBFUT],4,20180917,152800,108130.000000,108160.000000,108100.000000,108120.000000,71.000000
RIZ8 [SPBFUT],4,20180917,153200,108160.000000,108190.000000,108100.000000,108180.000000,244.000000
RIZ8 [SPBFUT],4,20180917,153600,108180.000000,108210.000000,108150.000000,108150.000000,82.000000
RIZ8 [SPBFUT],4,20180917,154000,108170.000000,108270.000000,108170.000000,108220.000000,84.000000
RIZ8 [SPBFUT],4,20180917,154400,108200.000000,108220.000000,108160.000000,108190.000000,38.000000
RIZ8 [SPBFUT],4,20180917,154800,108200.000000,108200.000000,108110.000000,108120.000000,78.000000
RIZ8 [SPBFUT],4,20180917,155200,108120.000000,108230.000000,108120.000000,108220.000000,79.000000
RIZ8 [SPBFUT],4,20180917,155600,108240.000000,108290.000000,108240.000000,108270.000000,123.000000
RIZ8 [SPBFUT],4,20180917,160000,108270.000000,108280.000000,108210.000000,108240.000000,111.000000
RIZ8 [SPBFUT],4,20180917,160400,108250.000000,108270.000000,108210.000000,108250.000000,98.000000
RIZ8 [SPBFUT],4,20180917,160800,108260.000000,108380.000000,108250.000000,108340.000000,364.000000
RIZ8 [SPBFUT],4,20180917,161200,108320.000000,108450.000000,108320.000000,108390.000000,339.000000
RIZ8 [SPBFUT],4,20180917,161600,108390.000000,108420.000000,108340.000000,108360.000000,195.000000
RIZ8 [SPBFUT],4,20180917,162000,108360.000000,108360.000000,108230.000000,108270.000000,315.000000
RIZ8 [SPBFUT],4,20180917,162400,108290.000000,108370.000000,108280.000000,108320.000000,515.000000
RIZ8 [SPBFUT],4,20180917,162800,108320.000000,108430.000000,108270.000000,108430.000000,271.000000
RIZ8 [SPBFUT],4,20180917,163200,108420.000000,108420.000000,108330.000000,108390.000000,106.000000
RIZ8 [SPBFUT],4,20180917,163600,108360.000000,108440.000000,108360.000000,108390.000000,120.000000
RIZ8 [SPBFUT],4,20180917,164000,108390.000000,108410.000000,108350.000000,108380.000000,95.000000
RIZ8 [SPBFUT],4,20180917,164400,108350.000000,108360.000000,108280.000000,108340.000000,143.000000
RIZ8 [SPBFUT],4,20180917,164800,108360.000000,108360.000000,108270.000000,108320.000000,69.000000
RIZ8 [SPBFUT],4,20180917,165200,108310.000000,108360.000000,108270.000000,108300.000000,88.000000
RIZ8 [SPBFUT],4,20180917,165600,108330.000000,108380.000000,108330.000000,108360.000000,89.000000
RIZ8 [SPBFUT],4,20180917,170000,108370.000000,108570.000000,108360.000000,108440.000000,531.000000
RIZ8 [SPBFUT],4,20180917,170400,108450.000000,108450.000000,108340.000000,108370.000000,94.000000
RIZ8 [SPBFUT],4,20180917,170800,108360.000000,108370.000000,108250.000000,108310.000000,347.000000
RIZ8 [SPBFUT],4,20180917,171200,108330.000000,108430.000000,108310.000000,108360.000000,128.000000
RIZ8 [SPBFUT],4,20180917,171600,108400.000000,108410.000000,108310.000000,108380.000000,72.000000
RIZ8 [SPBFUT],4,20180917,172000,108390.000000,108500.000000,108310.000000,108320.000000,221.000000
RIZ8 [SPBFUT],4,20180917,172400,108370.000000,108520.000000,108340.000000,108470.000000,265.000000
RIZ8 [SPBFUT],4,20180917,172800,108470.000000,108510.000000,108420.000000,108430.000000,129.000000
RIZ8 [SPBFUT],4,20180917,173200,108410.000000,108470.000000,108360.000000,108420.000000,433.000000
RIZ8 [SPBFUT],4,20180917,173600,108460.000000,108540.000000,108460.000000,108510.000000,119.000000
RIZ8 [SPBFUT],4,20180917,174000,108540.000000,108550.000000,108470.000000,108520.000000,159.000000
RIZ8 [SPBFUT],4,20180917,174400,108520.000000,108540.000000,108430.000000,108540.000000,196.000000
RIZ8 [SPBFUT],4,20180917,174800,108550.000000,108580.000000,108470.000000,108480.000000,197.000000
RIZ8 [SPBFUT],4,20180917,175200,108480.000000,108480.000000,108330.000000,108340.000000,570.000000
RIZ8 [SPBFUT],4,20180917,175600,108330.000000,108380.000000,108200.000000,108240.000000,475.000000
RIZ8 [SPBFUT],4,20180917,180000,108200.000000,108260.000000,108140.000000,108160.000000,299.000000
RIZ8 [SPBFUT],4,20180917,180400,108170.000000,108330.000000,108170.000000,108320.000000,265.000000
RIZ8 [SPBFUT],4,20180917,180800,108320.000000,108420.000000,108310.000000,108400.000000,651.000000
