<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],1,20181002,135500,117190.000000,117250.000000,117170.000000,117250.000000,229.000000
RIZ8 [SPBFUT],1,20181002,135600,117250.000000,117390.000000,117250.000000,117360.000000,1837.000000
RIZ8 [SPBFUT],1,20181002,135700,117370.000000,117370.000000,117300.000000,117320.000000,259.000000
RIZ8 [SPBFUT],1,20181002,135800,117340.000000,117350.000000,117290.000000,117350.000000,283.000000
RIZ8 [SPBFUT],1,20181002,135900,117330.000000,117350.000000,117270.000000,117320.000000,307.000000
RIZ8 [SPBFUT],1,20181002,140500,117290.000000,117470.000000,117280.000000,117440.000000,1257.000000
RIZ8 [SPBFUT],1,20181002,140600,117430.000000,117550.000000,117430.000000,117550.000000,1563.000000
RIZ8 [SPBFUT],1,20181002,140700,117550.000000,117670.000000,117540.000000,117620.000000,1898.000000
RIZ8 [SPBFUT],1,20181002,140800,117630.000000,117640.000000,117520.000000,117530.000000,811.000000
RIZ8 [SPBFUT],1,20181002,140900,117540.000000,117540.000000,117500.000000,117530.000000,308.000000
RIZ8 [SPBFUT],1,20181002,141000,117520.000000,117530.000000,117430.000000,117430.000000,623.000000
RIZ8 [SPBFUT],1,20181002,141100,117430.000000,117480.000000,117430.000000,117450.000000,405.000000
RIZ8 [SPBFUT],1,20181002,141200,117440.000000,117470.000000,117430.000000,117460.000000,196.000000
RIZ8 [SPBFUT],1,20181002,141300,117470.000000,117480.000000,117450.000000,117470.000000,126.000000
RIZ8 [SPBFUT],1,20181002,141400,117480.000000,117550.000000,117460.000000,117530.000000,643.000000
RIZ8 [SPBFUT],1,20181002,141500,117530.000000,117540.000000,117470.000000,117480.000000,252.000000
RIZ8 [SPBFUT],1,20181002,141600,117480.000000,117510.000000,117460.000000,117490.000000,210.000000
RIZ8 [SPBFUT],1,20181002,141700,117500.000000,117530.000000,117490.000000,117500.000000,201.000000
RIZ8 [SPBFUT],1,20181002,141800,117500.000000,117530.000000,117480.000000,117520.000000,101.000000
RIZ8 [SPBFUT],1,20181002,141900,117520.000000,117590.000000,117520.000000,117540.000000,500.000000
RIZ8 [SPBFUT],1,20181002,142000,117540.000000,117550.000000,117510.000000,117530.000000,199.000000
RIZ8 [SPBFUT],1,20181002,142100,117530.000000,117530.000000,117440.000000,117440.000000,428.000000
RIZ8 [SPBFUT],1,20181002,142200,117440.000000,117460.000000,117400.000000,117410.000000,737.000000
RIZ8 [SPBFUT],1,20181002,142300,117410.000000,117430.000000,117350.000000,117390.000000,941.000000
RIZ8 [SPBFUT],1,20181002,142400,117380.000000,117410.000000,117360.000000,117410.000000,407.000000
RIZ8 [SPBFUT],1,20181002,142500,117410.000000,117490.000000,117400.000000,117490.000000,488.000000
RIZ8 [SPBFUT],1,20181002,142600,117490.000000,117660.000000,117490.000000,117610.000000,1287.000000
RIZ8 [SPBFUT],1,20181002,142700,117610.000000,117630.000000,117520.000000,117540.000000,503.000000
RIZ8 [SPBFUT],1,20181002,142800,117550.000000,117630.000000,117530.000000,117630.000000,363.000000
RIZ8 [SPBFUT],1,20181002,142900,117630.000000,117640.000000,117550.000000,117580.000000,840.000000
RIZ8 [SPBFUT],1,20181002,143000,117580.000000,117690.000000,117570.000000,117680.000000,696.000000
RIZ8 [SPBFUT],1,20181002,143100,117690.000000,117810.000000,117680.000000,117730.000000,2042.000000
RIZ8 [SPBFUT],1,20181002,143200,117730.000000,117800.000000,117730.000000,117800.000000,607.000000
RIZ8 [SPBFUT],1,20181002,143300,117790.000000,117860.000000,117790.000000,117820.000000,926.000000
RIZ8 [SPBFUT],1,20181002,143400,117820.000000,117840.000000,117770.000000,117820.000000,675.000000
RIZ8 [SPBFUT],1,20181002,143500,117830.000000,117830.000000,117750.000000,117750.000000,568.000000
RIZ8 [SPBFUT],1,20181002,143600,117750.000000,117800.000000,117730.000000,117750.000000,370.000000
RIZ8 [SPBFUT],1,20181002,143700,117760.000000,117820.000000,117750.000000,117760.000000,307.000000
RIZ8 [SPBFUT],1,20181002,143800,117760.000000,117780.000000,117730.000000,117780.000000,428.000000
RIZ8 [SPBFUT],1,20181002,143900,117770.000000,117800.000000,117730.000000,117740.000000,479.000000
RIZ8 [SPBFUT],1,20181002,144000,117740.000000,117810.000000,117740.000000,117790.000000,211.000000
RIZ8 [SPBFUT],1,20181002,144100,117800.000000,117830.000000,117760.000000,117800.000000,454.000000
RIZ8 [SPBFUT],1,20181002,144200,117810.000000,117820.000000,117780.000000,117790.000000,478.000000
RIZ8 [SPBFUT],1,20181002,144300,117800.000000,117820.000000,117760.000000,117800.000000,320.000000
RIZ8 [SPBFUT],1,20181002,144400,117800.000000,117800.000000,117700.000000,117730.000000,475.000000
RIZ8 [SPBFUT],1,20181002,144500,117720.000000,117730.000000,117640.000000,117640.000000,742.000000
RIZ8 [SPBFUT],1,20181002,144600,117640.000000,117680.000000,117630.000000,117650.000000,350.000000
RIZ8 [SPBFUT],1,20181002,144700,117650.000000,117690.000000,117630.000000,117650.000000,382.000000
RIZ8 [SPBFUT],1,20181002,144800,117640.000000,117990.000000,117630.000000,117890.000000,4215.000000
RIZ8 [SPBFUT],1,20181002,144900,117900.000000,117960.000000,117850.000000,117860.000000,1260.000000
RIZ8 [SPBFUT],1,20181002,145000,117870.000000,117910.000000,117820.000000,117850.000000,1187.000000
RIZ8 [SPBFUT],1,20181002,145100,117870.000000,117930.000000,117860.000000,117900.000000,427.000000
RIZ8 [SPBFUT],1,20181002,145200,117900.000000,117940.000000,117880.000000,117880.000000,302.000000
RIZ8 [SPBFUT],1,20181002,145300,117880.000000,117900.000000,117860.000000,117890.000000,287.000000
RIZ8 [SPBFUT],1,20181002,145400,117880.000000,117880.000000,117830.000000,117840.000000,264.000000
