<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],20,20170703,100000,96580.000000,96580.000000,96500.000000,96500.000000,3.000000
RIZ8 [SPBFUT],20,20170703,110000,96500.000000,96500.000000,96500.000000,96500.000000,1.000000
RIZ8 [SPBFUT],20,20170712,122000,98330.000000,98330.000000,98330.000000,98330.000000,1.000000
RIZ8 [SPBFUT],20,20170712,152000,98400.000000,98400.000000,98400.000000,98400.000000,1.000000
RIZ8 [SPBFUT],20,20170712,154000,98690.000000,98690.000000,98690.000000,98690.000000,1.000000
RIZ8 [SPBFUT],20,20170713,192000,99500.000000,99500.000000,99500.000000,99500.000000,1.000000
RIZ8 [SPBFUT],20,20170714,110000,99500.000000,99500.000000,99500.000000,99500.000000,1.000000
RIZ8 [SPBFUT],20,20170714,114000,99750.000000,99750.000000,99750.000000,99750.000000,1.000000
RIZ8 [SPBFUT],20,20170714,132000,99990.000000,99990.000000,99990.000000,99990.000000,1.000000
RIZ8 [SPBFUT],20,20170721,100000,100900.000000,100900.000000,100900.000000,100900.000000,1.000000
RIZ8 [SPBFUT],20,20170721,164000,100900.000000,100900.000000,100900.000000,100900.000000,12.000000
RIZ8 [SPBFUT],20,20170721,170000,100900.000000,100900.000000,100900.000000,100900.000000,2.000000
RIZ8 [SPBFUT],20,20170721,172000,100900.000000,100900.000000,100900.000000,100900.000000,1.000000
RIZ8 [SPBFUT],20,20170803,212000,99510.000000,99510.000000,99510.000000,99510.000000,5.000000
RIZ8 [SPBFUT],20,20170803,214000,100500.000000,100500.000000,100500.000000,100500.000000,5.000000
RIZ8 [SPBFUT],20,20170807,124000,99000.000000,100200.000000,99000.000000,100200.000000,12.000000
RIZ8 [SPBFUT],20,20170807,130000,101560.000000,101850.000000,101560.000000,101820.000000,6.000000
RIZ8 [SPBFUT],20,20170807,174000,101010.000000,101010.000000,101000.000000,101000.000000,2.000000
