<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],6,20181109,112400,113290.000000,113310.000000,113190.000000,113260.000000,4931.000000
RIZ8 [SPBFUT],6,20181109,113000,113260.000000,113380.000000,113220.000000,113290.000000,5195.000000
RIZ8 [SPBFUT],6,20181109,113600,113290.000000,113300.000000,113100.000000,113110.000000,5408.000000
RIZ8 [SPBFUT],6,20181109,114200,113110.000000,113210.000000,112980.000000,113070.000000,7149.000000
RIZ8 [SPBFUT],6,20181109,114800,113060.000000,113210.000000,113040.000000,113120.000000,3906.000000
RIZ8 [SPBFUT],6,20181109,115400,113120.000000,113240.000000,113040.000000,113040.000000,3956.000000
RIZ8 [SPBFUT],6,20181109,120000,113040.000000,113340.000000,113030.000000,113260.000000,6039.000000
RIZ8 [SPBFUT],6,20181109,120600,113260.000000,113290.000000,113110.000000,113230.000000,3218.000000
RIZ8 [SPBFUT],6,20181109,121200,113220.000000,113300.000000,113160.000000,113240.000000,2410.000000
RIZ8 [SPBFUT],6,20181109,121800,113210.000000,113340.000000,113170.000000,113170.000000,2983.000000
RIZ8 [SPBFUT],6,20181109,122400,113190.000000,113260.000000,113150.000000,113180.000000,1493.000000
RIZ8 [SPBFUT],6,20181109,123000,113180.000000,113200.000000,112990.000000,113150.000000,4290.000000
RIZ8 [SPBFUT],6,20181109,123600,113160.000000,113220.000000,112950.000000,112980.000000,4185.000000
RIZ8 [SPBFUT],6,20181109,124200,112980.000000,113070.000000,112810.000000,112850.000000,5210.000000
RIZ8 [SPBFUT],6,20181109,124800,112870.000000,112890.000000,112770.000000,112840.000000,4332.000000
RIZ8 [SPBFUT],6,20181109,125400,112840.000000,112940.000000,112810.000000,112900.000000,2561.000000
RIZ8 [SPBFUT],6,20181109,130000,112900.000000,112940.000000,112730.000000,112810.000000,4028.000000
RIZ8 [SPBFUT],6,20181109,130600,112800.000000,112860.000000,112720.000000,112840.000000,2630.000000
RIZ8 [SPBFUT],6,20181109,131200,112840.000000,112870.000000,112670.000000,112680.000000,3024.000000
RIZ8 [SPBFUT],6,20181109,131800,112680.000000,112700.000000,112590.000000,112610.000000,4601.000000
RIZ8 [SPBFUT],6,20181109,132400,112610.000000,112630.000000,112440.000000,112520.000000,7631.000000
RIZ8 [SPBFUT],6,20181109,133000,112520.000000,112570.000000,112430.000000,112540.000000,4022.000000
RIZ8 [SPBFUT],6,20181109,133600,112540.000000,112620.000000,112160.000000,112180.000000,7706.000000
RIZ8 [SPBFUT],6,20181109,134200,112160.000000,112180.000000,112060.000000,112080.000000,7169.000000
RIZ8 [SPBFUT],6,20181109,134800,112090.000000,112220.000000,112070.000000,112220.000000,3878.000000
RIZ8 [SPBFUT],6,20181109,135400,112210.000000,112240.000000,112120.000000,112120.000000,2847.000000
RIZ8 [SPBFUT],6,20181109,140000,112130.000000,112220.000000,112120.000000,112160.000000,1630.000000
RIZ8 [SPBFUT],6,20181109,140600,112140.000000,112210.000000,111800.000000,111800.000000,9752.000000
RIZ8 [SPBFUT],6,20181109,141200,111810.000000,111830.000000,111600.000000,111700.000000,8600.000000
RIZ8 [SPBFUT],6,20181109,141800,111700.000000,112130.000000,111630.000000,112100.000000,11434.000000
RIZ8 [SPBFUT],6,20181109,142400,112100.000000,112190.000000,111920.000000,111970.000000,4781.000000
RIZ8 [SPBFUT],6,20181109,143000,111980.000000,112090.000000,111750.000000,111780.000000,4493.000000
RIZ8 [SPBFUT],6,20181109,143600,111780.000000,111810.000000,111380.000000,111470.000000,14772.000000
RIZ8 [SPBFUT],6,20181109,144200,111470.000000,111570.000000,111100.000000,111240.000000,11016.000000
RIZ8 [SPBFUT],6,20181109,144800,111220.000000,111420.000000,111120.000000,111340.000000,6688.000000
RIZ8 [SPBFUT],6,20181109,145400,111330.000000,111380.000000,111250.000000,111360.000000,3035.000000
RIZ8 [SPBFUT],6,20181109,150000,111350.000000,111570.000000,111310.000000,111460.000000,5922.000000
RIZ8 [SPBFUT],6,20181109,150600,111460.000000,111510.000000,111380.000000,111410.000000,4077.000000
RIZ8 [SPBFUT],6,20181109,151200,111410.000000,111450.000000,111330.000000,111390.000000,2706.000000
RIZ8 [SPBFUT],6,20181109,151800,111400.000000,111510.000000,111350.000000,111440.000000,2502.000000
