<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],60,20170119,110000,109370.000000,109370.000000,109370.000000,109370.000000,1.000000
RIZ8 [SPBFUT],60,20170531,100000,102530.000000,102530.000000,102530.000000,102530.000000,2.000000
RIZ8 [SPBFUT],60,20170531,170000,101150.000000,101150.000000,101150.000000,101150.000000,2.000000
RIZ8 [SPBFUT],60,20170607,200000,98500.000000,98500.000000,98500.000000,98500.000000,1.000000
RIZ8 [SPBFUT],60,20170614,100000,98760.000000,98760.000000,98760.000000,98760.000000,2.000000
RIZ8 [SPBFUT],60,20170614,200000,97470.000000,97470.000000,97470.000000,97470.000000,2.000000
RIZ8 [SPBFUT],60,20170615,100000,95880.000000,95880.000000,95880.000000,95880.000000,1.000000
RIZ8 [SPBFUT],60,20170615,110000,94210.000000,94210.000000,94210.000000,94210.000000,1.000000
RIZ8 [SPBFUT],60,20170615,120000,94240.000000,94240.000000,93860.000000,93860.000000,2.000000
RIZ8 [SPBFUT],60,20170615,130000,94570.000000,94810.000000,94570.000000,94810.000000,11.000000
RIZ8 [SPBFUT],60,20170619,200000,95910.000000,95910.000000,95910.000000,95910.000000,4.000000
RIZ8 [SPBFUT],60,20170623,110000,94240.000000,94240.000000,94240.000000,94240.000000,8.000000
RIZ8 [SPBFUT],60,20170623,140000,94380.000000,94380.000000,94380.000000,94380.000000,1.000000
RIZ8 [SPBFUT],60,20170626,190000,95950.000000,95950.000000,95950.000000,95950.000000,3.000000
RIZ8 [SPBFUT],60,20170627,170000,96080.000000,96080.000000,96080.000000,96080.000000,1.000000
RIZ8 [SPBFUT],60,20170627,190000,94000.000000,94000.000000,94000.000000,94000.000000,2.000000
RIZ8 [SPBFUT],60,20170627,230000,94000.000000,94000.000000,94000.000000,94000.000000,1.000000
RIZ8 [SPBFUT],60,20170628,200000,96410.000000,96410.000000,96410.000000,96410.000000,1.000000
RIZ8 [SPBFUT],60,20170630,210000,96900.000000,96900.000000,96900.000000,96900.000000,3.000000
RIZ8 [SPBFUT],60,20170703,100000,96580.000000,96580.000000,96500.000000,96500.000000,3.000000
RIZ8 [SPBFUT],60,20170703,110000,96500.000000,96500.000000,96500.000000,96500.000000,1.000000
RIZ8 [SPBFUT],60,20170712,120000,98330.000000,98330.000000,98330.000000,98330.000000,1.000000
RIZ8 [SPBFUT],60,20170712,150000,98400.000000,98690.000000,98400.000000,98690.000000,2.000000
RIZ8 [SPBFUT],60,20170713,190000,99500.000000,99500.000000,99500.000000,99500.000000,1.000000
RIZ8 [SPBFUT],60,20170714,110000,99500.000000,99750.000000,99500.000000,99750.000000,2.000000
RIZ8 [SPBFUT],60,20170714,130000,99990.000000,99990.000000,99990.000000,99990.000000,1.000000
RIZ8 [SPBFUT],60,20170721,100000,100900.000000,100900.000000,100900.000000,100900.000000,1.000000
RIZ8 [SPBFUT],60,20170721,160000,100900.000000,100900.000000,100900.000000,100900.000000,12.000000
RIZ8 [SPBFUT],60,20170721,170000,100900.000000,100900.000000,100900.000000,100900.000000,3.000000
RIZ8 [SPBFUT],60,20170803,210000,99510.000000,100500.000000,99510.000000,100500.000000,10.000000
