<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],30,20170119,113000,109370.000000,109370.000000,109370.000000,109370.000000,1.000000
RIZ8 [SPBFUT],30,20170531,103000,102530.000000,102530.000000,102530.000000,102530.000000,2.000000
RIZ8 [SPBFUT],30,20170531,170000,101150.000000,101150.000000,101150.000000,101150.000000,2.000000
RIZ8 [SPBFUT],30,20170607,200000,98500.000000,98500.000000,98500.000000,98500.000000,1.000000
RIZ8 [SPBFUT],30,20170614,100000,98760.000000,98760.000000,98760.000000,98760.000000,1.000000
RIZ8 [SPBFUT],30,20170614,103000,98760.000000,98760.000000,98760.000000,98760.000000,1.000000
RIZ8 [SPBFUT],30,20170614,200000,97470.000000,97470.000000,97470.000000,97470.000000,2.000000
RIZ8 [SPBFUT],30,20170615,103000,95880.000000,95880.000000,95880.000000,95880.000000,1.000000
RIZ8 [SPBFUT],30,20170615,113000,94210.000000,94210.000000,94210.000000,94210.000000,1.000000
RIZ8 [SPBFUT],30,20170615,120000,94240.000000,94240.000000,94240.000000,94240.000000,1.000000
RIZ8 [SPBFUT],30,20170615,123000,93860.000000,93860.000000,93860.000000,93860.000000,1.000000
RIZ8 [SPBFUT],30,20170615,130000,94570.000000,94570.000000,94570.000000,94570.000000,1.000000
RIZ8 [SPBFUT],30,20170615,133000,94810.000000,94810.000000,94810.000000,94810.000000,10.000000
RIZ8 [SPBFUT],30,20170619,203000,95910.000000,95910.000000,95910.000000,95910.000000,4.000000
RIZ8 [SPBFUT],30,20170623,110000,94240.000000,94240.000000,94240.000000,94240.000000,7.000000
RIZ8 [SPBFUT],30,20170623,113000,94240.000000,94240.000000,94240.000000,94240.000000,1.000000
RIZ8 [SPBFUT],30,20170623,143000,94380.000000,94380.000000,94380.000000,94380.000000,1.000000
RIZ8 [SPBFUT],30,20170626,193000,95950.000000,95950.000000,95950.000000,95950.000000,3.000000
RIZ8 [SPBFUT],30,20170627,173000,96080.000000,96080.000000,96080.000000,96080.000000,1.000000
RIZ8 [SPBFUT],30,20170627,193000,94000.000000,94000.000000,94000.000000,94000.000000,2.000000
RIZ8 [SPBFUT],30,20170627,233000,94000.000000,94000.000000,94000.000000,94000.000000,1.000000
RIZ8 [SPBFUT],30,20170628,200000,96410.000000,96410.000000,96410.000000,96410.000000,1.000000
RIZ8 [SPBFUT],30,20170630,213000,96900.000000,96900.000000,96900.000000,96900.000000,3.000000
RIZ8 [SPBFUT],30,20170703,100000,96580.000000,96580.000000,96500.000000,96500.000000,3.000000
RIZ8 [SPBFUT],30,20170703,110000,96500.000000,96500.000000,96500.000000,96500.000000,1.000000
RIZ8 [SPBFUT],30,20170712,123000,98330.000000,98330.000000,98330.000000,98330.000000,1.000000
RIZ8 [SPBFUT],30,20170712,153000,98400.000000,98690.000000,98400.000000,98690.000000,2.000000
RIZ8 [SPBFUT],30,20170713,190000,99500.000000,99500.000000,99500.000000,99500.000000,1.000000
RIZ8 [SPBFUT],30,20170714,110000,99500.000000,99500.000000,99500.000000,99500.000000,1.000000
RIZ8 [SPBFUT],30,20170714,113000,99750.000000,99750.000000,99750.000000,99750.000000,1.000000
RIZ8 [SPBFUT],30,20170714,133000,99990.000000,99990.000000,99990.000000,99990.000000,1.000000
RIZ8 [SPBFUT],30,20170721,100000,100900.000000,100900.000000,100900.000000,100900.000000,1.000000
RIZ8 [SPBFUT],30,20170721,163000,100900.000000,100900.000000,100900.000000,100900.000000,12.000000
RIZ8 [SPBFUT],30,20170721,170000,100900.000000,100900.000000,100900.000000,100900.000000,3.000000
RIZ8 [SPBFUT],30,20170803,213000,99510.000000,100500.000000,99510.000000,100500.000000,10.000000
RIZ8 [SPBFUT],30,20170807,123000,99000.000000,100200.000000,99000.000000,100200.000000,12.000000
RIZ8 [SPBFUT],30,20170807,130000,101560.000000,101850.000000,101560.000000,101820.000000,6.000000
RIZ8 [SPBFUT],30,20170807,173000,101010.000000,101010.000000,101000.000000,101000.000000,2.000000
RIZ8 [SPBFUT],30,20170807,210000,101000.000000,101000.000000,101000.000000,101000.000000,2.000000
RIZ8 [SPBFUT],30,20170808,163000,101800.000000,101800.000000,101800.000000,101800.000000,2.000000
RIZ8 [SPBFUT],30,20170808,200000,102500.000000,102500.000000,102500.000000,102500.000000,1.000000
RIZ8 [SPBFUT],30,20170808,210000,101950.000000,102300.000000,101950.000000,102100.000000,43.000000
RIZ8 [SPBFUT],30,20170811,100000,100000.000000,100000.000000,100000.000000,100000.000000,1.000000
RIZ8 [SPBFUT],30,20170811,110000,99500.000000,99500.000000,99500.000000,99500.000000,1.000000
RIZ8 [SPBFUT],30,20170811,203000,100500.000000,100500.000000,100500.000000,100500.000000,1.000000
RIZ8 [SPBFUT],30,20170817,223000,100770.000000,100770.000000,100770.000000,100770.000000,1.000000
RIZ8 [SPBFUT],30,20170822,120000,101330.000000,101330.000000,100720.000000,100720.000000,4.000000
RIZ8 [SPBFUT],30,20170822,160000,100720.000000,100740.000000,100720.000000,100720.000000,247.000000
RIZ8 [SPBFUT],30,20170822,180000,101000.000000,101000.000000,101000.000000,101000.000000,1.000000
RIZ8 [SPBFUT],30,20170824,213000,101780.000000,101780.000000,101730.000000,101730.000000,2.000000
RIZ8 [SPBFUT],30,20170825,220000,103000.000000,103000.000000,103000.000000,103000.000000,2.000000
RIZ8 [SPBFUT],30,20170828,110000,103350.000000,103350.000000,103350.000000,103350.000000,1.000000
RIZ8 [SPBFUT],30,20170830,163000,104500.000000,104500.000000,104500.000000,104500.000000,1.000000
RIZ8 [SPBFUT],30,20170831,163000,105720.000000,105720.000000,105720.000000,105720.000000,1.000000
RIZ8 [SPBFUT],30,20170831,233000,105950.000000,107590.000000,105950.000000,107590.000000,2.000000
RIZ8 [SPBFUT],30,20170904,150000,106400.000000,106400.000000,106400.000000,106400.000000,2.000000
RIZ8 [SPBFUT],30,20170904,153000,105760.000000,105760.000000,105760.000000,105760.000000,1.000000
RIZ8 [SPBFUT],30,20170904,183000,105700.000000,105700.000000,105700.000000,105700.000000,1.000000
RIZ8 [SPBFUT],30,20170904,193000,107360.000000,107360.000000,107360.000000,107360.000000,2.000000
RIZ8 [SPBFUT],30,20170904,200000,106380.000000,106380.000000,106380.000000,106380.000000,5.000000
RIZ8 [SPBFUT],30,20170905,120000,107040.000000,107040.000000,107040.000000,107040.000000,6.000000
RIZ8 [SPBFUT],30,20170905,150000,105700.000000,105700.000000,105700.000000,105700.000000,6.000000
RIZ8 [SPBFUT],30,20170905,160000,106630.000000,106640.000000,106510.000000,106510.000000,8.000000
RIZ8 [SPBFUT],30,20170905,200000,106500.000000,106500.000000,106500.000000,106500.000000,8.000000
RIZ8 [SPBFUT],30,20170906,143000,106000.000000,106000.000000,106000.000000,106000.000000,7.000000
RIZ8 [SPBFUT],30,20170906,170000,107100.000000,107100.000000,107100.000000,107100.000000,3.000000
RIZ8 [SPBFUT],30,20170906,200000,107420.000000,107420.000000,107290.000000,107290.000000,2.000000
RIZ8 [SPBFUT],30,20170906,213000,107510.000000,107510.000000,107510.000000,107510.000000,3.000000
RIZ8 [SPBFUT],30,20170907,100000,108200.000000,108200.000000,108200.000000,108200.000000,6.000000
RIZ8 [SPBFUT],30,20170907,110000,108100.000000,108100.000000,108100.000000,108100.000000,6.000000
RIZ8 [SPBFUT],30,20170907,143000,109430.000000,109430.000000,109430.000000,109430.000000,3.000000
RIZ8 [SPBFUT],30,20170907,210000,109370.000000,109370.000000,108100.000000,108100.000000,6.000000
RIZ8 [SPBFUT],30,20170907,220000,109130.000000,109130.000000,109130.000000,109130.000000,5.000000
RIZ8 [SPBFUT],30,20170913,170000,109940.000000,109940.000000,109940.000000,109940.000000,1.000000
RIZ8 [SPBFUT],30,20170913,210000,110470.000000,110470.000000,110470.000000,110470.000000,8.000000
RIZ8 [SPBFUT],30,20170914,173000,108800.000000,108930.000000,108800.000000,108930.000000,4.000000
RIZ8 [SPBFUT],30,20170914,180000,108930.000000,109240.000000,108930.000000,109240.000000,8.000000
RIZ8 [SPBFUT],30,20170915,100000,110730.000000,110730.000000,110250.000000,110250.000000,4.000000
RIZ8 [SPBFUT],30,20170915,150000,109370.000000,109370.000000,109370.000000,109370.000000,1.000000
RIZ8 [SPBFUT],30,20170918,183000,109550.000000,109550.000000,109550.000000,109550.000000,3.000000
RIZ8 [SPBFUT],30,20170918,210000,108300.000000,108300.000000,108300.000000,108300.000000,3.000000
RIZ8 [SPBFUT],30,20170920,133000,108400.000000,108700.000000,108400.000000,108700.000000,2.000000
RIZ8 [SPBFUT],30,20170921,120000,109210.000000,109210.000000,109210.000000,109210.000000,1.000000
RIZ8 [SPBFUT],30,20170922,230000,109990.000000,109990.000000,108810.000000,108810.000000,2.000000
RIZ8 [SPBFUT],30,20170925,230000,110570.000000,111150.000000,110570.000000,110580.000000,16.000000
RIZ8 [SPBFUT],30,20170926,180000,110500.000000,110500.000000,110500.000000,110500.000000,1.000000
RIZ8 [SPBFUT],30,20170926,233000,110110.000000,110600.000000,110110.000000,110600.000000,2.000000
RIZ8 [SPBFUT],30,20170927,130000,110210.000000,110210.000000,110210.000000,110210.000000,1.000000
RIZ8 [SPBFUT],30,20170928,100000,109880.000000,110220.000000,108700.000000,108700.000000,74.000000
RIZ8 [SPBFUT],30,20170928,160000,110550.000000,110550.000000,110550.000000,110550.000000,1.000000
RIZ8 [SPBFUT],30,20171003,153000,110500.000000,110500.000000,110500.000000,110500.000000,2.000000
RIZ8 [SPBFUT],30,20171004,223000,110850.000000,111400.000000,110850.000000,111400.000000,2.000000
RIZ8 [SPBFUT],30,20171005,233000,111610.000000,112610.000000,111610.000000,112610.000000,2.000000
RIZ8 [SPBFUT],30,20171006,100000,112470.000000,112600.000000,111420.000000,111420.000000,72.000000
RIZ8 [SPBFUT],30,20171006,163000,111420.000000,111420.000000,111420.000000,111420.000000,1.000000
RIZ8 [SPBFUT],30,20171009,173000,110770.000000,110770.000000,110770.000000,110770.000000,2.000000
RIZ8 [SPBFUT],30,20171012,153000,112000.000000,112000.000000,112000.000000,112000.000000,2.000000
RIZ8 [SPBFUT],30,20171016,130000,113800.000000,113800.000000,113800.000000,113800.000000,1.000000
RIZ8 [SPBFUT],30,20171016,170000,113330.000000,113330.000000,113330.000000,113330.000000,1.000000
RIZ8 [SPBFUT],30,20171017,100000,113450.000000,113550.000000,113450.000000,113550.000000,37.000000
RIZ8 [SPBFUT],30,20171017,103000,112550.000000,112550.000000,112290.000000,112290.000000,37.000000
RIZ8 [SPBFUT],30,20171017,173000,112250.000000,112250.000000,112250.000000,112250.000000,1.000000
RIZ8 [SPBFUT],30,20171017,203000,112630.000000,112630.000000,112630.000000,112630.000000,1.000000
RIZ8 [SPBFUT],30,20171017,233000,112620.000000,112620.000000,112620.000000,112620.000000,1.000000
RIZ8 [SPBFUT],30,20171019,100000,112710.000000,112710.000000,112710.000000,112710.000000,1.000000
RIZ8 [SPBFUT],30,20171019,120000,111250.000000,111250.000000,111250.000000,111250.000000,1.000000
RIZ8 [SPBFUT],30,20171019,123000,111220.000000,111220.000000,111020.000000,111020.000000,2.000000
RIZ8 [SPBFUT],30,20171023,100000,112360.000000,112360.000000,112360.000000,112360.000000,1.000000
