<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RIZ8 [SPBFUT],2,20180926,181200,114720.000000,114750.000000,114660.000000,114660.000000,337.000000
RIZ8 [SPBFUT],2,20180926,181400,114670.000000,114740.000000,114630.000000,114730.000000,916.000000
RIZ8 [SPBFUT],2,20180926,181600,114730.000000,114780.000000,114720.000000,114760.000000,633.000000
RIZ8 [SPBFUT],2,20180926,181800,114750.000000,114780.000000,114730.000000,114750.000000,495.000000
RIZ8 [SPBFUT],2,20180926,182000,114740.000000,114800.000000,114710.000000,114770.000000,525.000000
RIZ8 [SPBFUT],2,20180926,182200,114770.000000,114800.000000,114750.000000,114750.000000,346.000000
RIZ8 [SPBFUT],2,20180926,182400,114760.000000,114820.000000,114760.000000,114820.000000,577.000000
RIZ8 [SPBFUT],2,20180926,182600,114810.000000,114870.000000,114790.000000,114850.000000,892.000000
RIZ8 [SPBFUT],2,20180926,182800,114850.000000,114900.000000,114850.000000,114870.000000,740.000000
RIZ8 [SPBFUT],2,20180926,183000,114870.000000,114900.000000,114860.000000,114880.000000,682.000000
RIZ8 [SPBFUT],2,20180926,183200,114900.000000,114900.000000,114840.000000,114850.000000,864.000000
RIZ8 [SPBFUT],2,20180926,183400,114850.000000,114870.000000,114720.000000,114740.000000,1081.000000
RIZ8 [SPBFUT],2,20180926,183600,114730.000000,114740.000000,114590.000000,114600.000000,1380.000000
RIZ8 [SPBFUT],2,20180926,183800,114590.000000,114670.000000,114590.000000,114660.000000,808.000000
RIZ8 [SPBFUT],2,20180926,184000,114660.000000,114690.000000,114620.000000,114640.000000,579.000000
RIZ8 [SPBFUT],2,20180926,184200,114640.000000,114880.000000,114630.000000,114720.000000,1688.000000
RIZ8 [SPBFUT],2,20180926,184400,114720.000000,114900.000000,114710.000000,114820.000000,933.000000
RIZ8 [SPBFUT],2,20180926,190000,114770.000000,114990.000000,114720.000000,114890.000000,796.000000
RIZ8 [SPBFUT],2,20180926,190200,114880.000000,114900.000000,114750.000000,114770.000000,630.000000
RIZ8 [SPBFUT],2,20180926,190400,114770.000000,114820.000000,114770.000000,114780.000000,141.000000
RIZ8 [SPBFUT],2,20180926,190600,114780.000000,114780.000000,114710.000000,114730.000000,151.000000
RIZ8 [SPBFUT],2,20180926,190800,114720.000000,114720.000000,114670.000000,114710.000000,234.000000
RIZ8 [SPBFUT],2,20180926,191000,114690.000000,114720.000000,114680.000000,114690.000000,177.000000
RIZ8 [SPBFUT],2,20180926,191200,114690.000000,114730.000000,114690.000000,114730.000000,64.000000
RIZ8 [SPBFUT],2,20180926,191400,114720.000000,114730.000000,114700.000000,114720.000000,128.000000
RIZ8 [SPBFUT],2,20180926,191600,114710.000000,114760.000000,114700.000000,114710.000000,107.000000
RIZ8 [SPBFUT],2,20180926,191800,114710.000000,114710.000000,114640.000000,114660.000000,263.000000
RIZ8 [SPBFUT],2,20180926,192000,114660.000000,114690.000000,114650.000000,114680.000000,96.000000
RIZ8 [SPBFUT],2,20180926,192200,114690.000000,114720.000000,114650.000000,114660.000000,198.000000
RIZ8 [SPBFUT],2,20180926,192400,114670.000000,114720.000000,114660.000000,114700.000000,175.000000
RIZ8 [SPBFUT],2,20180926,192600,114710.000000,114750.000000,114710.000000,114720.000000,215.000000
RIZ8 [SPBFUT],2,20180926,192800,114720.000000,114750.000000,114720.000000,114720.000000,114.000000
RIZ8 [SPBFUT],2,20180926,193000,114730.000000,114740.000000,114680.000000,114720.000000,264.000000
RIZ8 [SPBFUT],2,20180926,193200,114710.000000,114740.000000,114700.000000,114700.000000,163.000000
RIZ8 [SPBFUT],2,20180926,193400,114700.000000,114730.000000,114700.000000,114720.000000,82.000000
RIZ8 [SPBFUT],2,20180926,193600,114730.000000,114740.000000,114720.000000,114720.000000,17.000000
RIZ8 [SPBFUT],2,20180926,193800,114740.000000,114740.000000,114720.000000,114720.000000,8.000000
RIZ8 [SPBFUT],2,20180926,194000,114740.000000,114750.000000,114710.000000,114710.000000,154.000000
RIZ8 [SPBFUT],2,20180926,194200,114730.000000,114750.000000,114720.000000,114750.000000,24.000000
RIZ8 [SPBFUT],2,20180926,194400,114750.000000,114750.000000,114710.000000,114730.000000,74.000000
RIZ8 [SPBFUT],2,20180926,194600,114740.000000,114740.000000,114700.000000,114730.000000,41.000000
RIZ8 [SPBFUT],2,20180926,194800,114740.000000,114750.000000,114730.000000,114740.000000,66.000000
RIZ8 [SPBFUT],2,20180926,195000,114740.000000,114770.000000,114720.000000,114740.000000,145.000000
RIZ8 [SPBFUT],2,20180926,195200,114750.000000,114820.000000,114750.000000,114800.000000,203.000000
RIZ8 [SPBFUT],2,20180926,195400,114800.000000,114830.000000,114780.000000,114810.000000,163.000000
RIZ8 [SPBFUT],2,20180926,195600,114820.000000,114840.000000,114820.000000,114820.000000,89.000000
RIZ8 [SPBFUT],2,20180926,195800,114830.000000,114860.000000,114820.000000,114830.000000,114.000000
RIZ8 [SPBFUT],2,20180926,200000,114840.000000,114860.000000,114820.000000,114840.000000,245.000000
RIZ8 [SPBFUT],2,20180926,200200,114840.000000,114840.000000,114820.000000,114820.000000,41.000000
RIZ8 [SPBFUT],2,20180926,200400,114830.000000,114850.000000,114830.000000,114840.000000,29.000000
RIZ8 [SPBFUT],2,20180926,200600,114840.000000,114850.000000,114770.000000,114770.000000,124.000000
RIZ8 [SPBFUT],2,20180926,200800,114780.000000,114790.000000,114740.000000,114790.000000,150.000000
RIZ8 [SPBFUT],2,20180926,201000,114790.000000,114800.000000,114760.000000,114780.000000,61.000000
RIZ8 [SPBFUT],2,20180926,201200,114780.000000,114790.000000,114750.000000,114780.000000,66.000000
RIZ8 [SPBFUT],2,20180926,201400,114770.000000,114800.000000,114760.000000,114790.000000,79.000000
RIZ8 [SPBFUT],2,20180926,201600,114780.000000,114820.000000,114780.000000,114820.000000,89.000000
RIZ8 [SPBFUT],2,20180926,201800,114810.000000,114820.000000,114790.000000,114820.000000,42.000000
RIZ8 [SPBFUT],2,20180926,202000,114790.000000,114790.000000,114740.000000,114770.000000,197.000000
RIZ8 [SPBFUT],2,20180926,202200,114760.000000,114770.000000,114710.000000,114770.000000,223.000000
RIZ8 [SPBFUT],2,20180926,202400,114770.000000,114780.000000,114750.000000,114750.000000,100.000000
RIZ8 [SPBFUT],2,20180926,202600,114740.000000,114770.000000,114740.000000,114760.000000,42.000000
RIZ8 [SPBFUT],2,20180926,202800,114760.000000,114790.000000,114760.000000,114780.000000,81.000000
RIZ8 [SPBFUT],2,20180926,203000,114770.000000,114790.000000,114740.000000,114740.000000,151.000000
RIZ8 [SPBFUT],2,20180926,203200,114730.000000,114770.000000,114720.000000,114770.000000,189.000000
RIZ8 [SPBFUT],2,20180926,203400,114750.000000,114770.000000,114720.000000,114730.000000,167.000000
